id	building	address_raw	prefecture	city	address_norm	place_detail	landmark	access	parking	nearby_spots	tags	source_urls	verified_at	confidence
404	金シャチ横丁　宗春ゾーン（東門エリア）	名古屋市中区二の丸1番2・3号	愛知県	名古屋市中区	愛知県名古屋市中区二の丸1番2・3号	宗春ゾーン（東門エリア）				food|tourism		2025-12-27	3
405	瀬戸蔵 正面玄関北側	愛知県瀬戸市蔵所町1-1	愛知県	瀬戸市	愛知県瀬戸市蔵所町1-1	正面玄関北側				museum|tourism		2025-12-27	3
408	西尾市歴史公園	西尾市錦城町231番地1	愛知県	西尾市	愛知県西尾市錦城町231番地1				park|history|tourism		2025-12-27	3
406	りんくうビーチ		わかりません	わかりません						beach|tourism		2025-12-27	1
407	刈谷ハイウェイオアシス内にある「オアシス館刈谷 INFOBOX」正面玄関前	愛知県刈谷市東境町吉野25-1	愛知県	刈谷市	愛知県刈谷市東境町吉野25-1	「オアシス館刈谷 INFOBOX」正面玄関前				roadside|family|tourism		2025-12-27	3
271	愛知県/豊橋市（バクフーン）	愛知県豊橋市	愛知県	豊橋市	愛知県豊橋市				pokemon_lid|city_level_address		2025-12-27	2
272	愛知県/豊橋市（アゴジムシ・アブリボン）	愛知県豊橋市	愛知県	豊橋市	愛知県豊橋市				pokemon_lid|city_level_address		2025-12-27	2
273	愛知県/豊橋市（デンヂムシ・スターミー）	愛知県豊橋市	愛知県	豊橋市	愛知県豊橋市				pokemon_lid|city_level_address		2025-12-27	2
274	愛知県/豊橋市（クワガノン・カブト）	愛知県豊橋市	愛知県	豊橋市	愛知県豊橋市				pokemon_lid|city_level_address		2025-12-27	2
240	津市まん中広場	津市大門7-15（津市まん中広場内）	三重県	津市	三重県津市大門7-15	（津市まん中広場内）				park|tourism		2025-12-27	3
241	中央緑地公園	四日市市日永東1-3-21（中央緑地公園内）	三重県	四日市市	三重県四日市市日永東1-3-21	（中央緑地公園内）				park|sports|tourism		2025-12-27	3
242	外宮前広場	伊勢市吹上1-1-4（外宮前広場）	三重県	伊勢市	三重県伊勢市吹上1-1-4	（外宮前広場）				shrine|tourism		2025-12-27	3
243	ドルフィン公園	鳥羽市鳥羽1-2383-42（ドルフィン公園）	三重県	鳥羽市	三重県鳥羽市鳥羽1-2383-42	（ドルフィン公園）				seaside|tourism		2025-12-27	3
244	鬼ヶ城センター	熊野市木本町1835-7	三重県	熊野市	三重県熊野市木本町1835-7				geosite|tourism		2025-12-27	3
245	八幡さん公園	志摩市大王町波切276（八幡さん公園）	三重県	志摩市	三重県志摩市大王町波切276	（八幡さん公園）				park|tourism		2025-12-27	3
246	上野市駅前	伊賀市上野丸之内61-2（上野市駅前）	三重県	伊賀市	三重県伊賀市上野丸之内61-2	（上野市駅前）				station|tourism		2025-12-27	3
292	亀山公園 時計台付近	亀山市若山町7-10（亀山公園 時計台付近）	三重県	亀山市	三重県亀山市若山町7-10	時計台付近				park|tourism		2025-12-27	3
293	ふれあいパーク	三重郡朝日町柿2278（ふれあいパーク）	三重県	三重郡朝日町	三重県三重郡朝日町柿2278	（ふれあいパーク）				park|family|tourism		2025-12-27	3
294	いつきのみや地域交流センター	多気郡明和町斎宮2604-49	三重県	多気郡明和町	三重県多気郡明和町斎宮2604-49				culture|museum|tourism		2025-12-27	3
295	奥伊勢フォレストピア	多気郡大台町薗993	三重県	多気郡大台町	三重県多気郡大台町薗993				resort|nature|tourism		2025-12-27	3
383	なばなの里	桑名市長島町駒江漆畑270	三重県	桑名市	三重県桑名市長島町駒江漆畑270				illumination|tourism		2025-12-27	3
296	宮リバー度会パーク	度会郡度会町大野木1260（宮リバー度会パーク内）	三重県	度会郡度会町	三重県度会郡度会町大野木1260	（宮リバー度会パーク内）				park|river|tourism		2025-12-27	3
297	道の駅 紀宝町ウミガメ公園	南牟婁郡紀宝町井田568-7	三重県	南牟婁郡紀宝町	三重県南牟婁郡紀宝町井田568-7				roadside|family|tourism		2025-12-27	3
308	朝日公園	名張市平尾3225-10（朝日公園）	三重県	名張市	三重県名張市平尾3225-10	（朝日公園）				park|tourism		2025-12-27	3
309	木曽岬町立図書館	桑名郡木曽岬町大字西対海地251	三重県	桑名郡木曽岬町	三重県桑名郡木曽岬町大字西対海地251				library|town		2025-12-27	3
310	東員町中部公園	員弁郡東員町北大社1634	三重県	員弁郡東員町	三重県員弁郡東員町北大社1634				park|family|tourism		2025-12-27	3
330	鈴鹿市伝統産業会館	鈴鹿市寺家3-10-1	三重県	鈴鹿市	三重県鈴鹿市寺家3-10-1				museum|tourism		2025-12-27	3
331	川越富洲原駅 西口	三重郡川越町豊田275（川越富洲原駅西口）	三重県	三重郡川越町	三重県三重郡川越町豊田275	西口				station|town		2025-12-27	3
